Exp_TotalAmount,IsAffidavit,ExpCat_ID,Dept_ID,Submission_Gap,Is_Weekend,Is_Round_Number,Label,Log_Amount,HighAmt_NoReceipt,Amount_Tier,SameDay_NoReceipt,Gap_Ratio
500.0,0,3,104,1,0,1,0,6.2166061010848646,0,0,0,0.016666666666666666
4015.86,0,1,102,13,0,0,0,8.29825578187243,0,1,0,0.21666666666666667
4500.0,0,4,105,25,0,1,0,8.412054873292933,0,1,0,0.4166666666666667
113488.69,0,1,104,0,0,0,1,11.639467274773258,0,4,0,0.0
4340.21,1,1,101,27,1,0,0,8.375908390079758,0,1,0,0.45
3500.0,0,3,105,18,0,1,0,8.160803920954665,0,1,0,0.3
4566.77,0,4,104,0,0,0,0,8.426780399805532,0,1,0,0.0
84241.51,0,6,104,19,0,0,0,11.341454942185432,0,3,0,0.31666666666666665
17500.0,0,6,101,30,0,1,0,9.770013301136158,0,2,0,0.5
679.95,0,6,103,0,1,0,0,6.523488882014966,0,0,0,0.0
87000.0,0,5,102,3,1,1,1,11.373674891823535,0,3,0,0.05
4330.33,0,5,105,23,0,0,0,8.373629933186107,0,1,0,0.38333333333333336
92248.97,1,1,104,11,0,0,1,11.432257236699469,1,3,0,0.18333333333333332
391.9,0,4,105,58,0,0,1,5.973555126564414,0,0,0,0.9666666666666667
426.86,1,1,103,21,0,0,0,6.058796039268267,0,0,0,0.35
3033.14,1,1,102,44,0,0,0,8.01768330254857,0,1,0,0.7333333333333333
108606.09,0,1,103,28,0,0,1,11.595491969802167,0,4,0,0.4666666666666667
52000.0,0,6,101,25,1,1,1,10.859018228147887,0,3,0,0.4166666666666667
16500.0,0,5,105,10,0,1,0,9.711176264112805,0,2,0,0.16666666666666666
2755.84,0,7,104,30,0,0,0,7.921840375244723,0,1,0,0.5
4459.81,0,8,104,52,0,0,0,8.403085642873997,0,1,0,0.8666666666666667
4000.0,0,7,102,7,0,1,0,8.294299608857235,0,1,0,0.11666666666666667
1076.81,0,1,105,14,0,0,0,6.982686483615567,0,1,0,0.23333333333333334
3419.96,0,6,105,16,0,0,0,8.13767649242167,0,1,0,0.26666666666666666
